order	species	feces_max_dim_cm	body_min_kg	body_max_kg	common_name
CARNIVORA	Vulpes macrotis	5	1.6	2.7	San Joaquin Kit Fox
CARNIVORA	Urocyon cinereoargenteus	6.4	2	9	Gray Fox
CARNIVORA	Alopex lagopus	6.4	5.2	5.2	Arctic Fox
CARNIVORA	Lynx rufus	8.85	4	15	Bobcat
CARNIVORA	Puma concolor	15.2	29	120	Mountain Lion
CARNIVORA	Panthera onca	10.8	68	136	Jaguar
CARNIVORA	Leopardus pardalis	12.7	8.5	16	Ocelot
PINNIPEDIA	Eumetopias jubatus	5.65	350	1120	Northern Sea lion
UNGULATA	Ovis canadensis	8	53	127	Bighorn Sheep
UNGULATA	Oreamnos americanus	4.3	56.8	81.8	Mountain Goat Cakes:
UNGULATA	Bison bison	30.5	318	900	Bison or Buffalo
UNGULATA	Ovibos moschatus	1	180	400	Muskox
UNGULATA	Antilocapra americana	4	47	70	Pronghorn Antelope
UNGULATA	Odocoileus hemionus	6.7	43	150	Mule Deer
UNGULATA	Odocoileus virginianus	4.8	57.0	137.0	White-tailed Deer
UNGULATA	Cervus elaphus	11	67	497	Canadian Elk
UNGULATA	Alces alces	2.7	270	771	Moose
UNGULATA	Rangifer tarandus	5.5	55	318	Caribou
UNGULATA	Pecari tajacu	1.4	15	25	Peccary
XENARTHRA	Dasypus novemcinctus	2.4	3.6	7.7	Nine-banded Armadillo
XENARTHRA	Tamandua tetradactyla	4.95	4.5	4.5	Southern Tamandua
RODENTIA	Kerodon rupestris	1.3	0.9	1	Rock Cavy
PRIMATA	Alouatta caraya	2.6	4	10	Black Howler Monkey
CARNIVORA	Cerdocyon thous	6.15	5	8	Crab-eating Fox
CARNIVORA	Panthera onca	6.9	68	136	Jaguar
CARNIVORA	Puma concolor	4.9	29	120	Cougar
CARNIVORA	Leopardus tigrinus	3.25	1.5	3	Oncilla
UNGULATA	Mazama gouazoubira	3	8	25	Brocket Deer
UNGULATA	Mazama americana	0.85	20	55	Red Brocket deer
UNGULATA	Pecari tajacu	1.65	15	25	Collared Peccary
UNGULATA	Tayassu pecari	1.6	25	40	White-lipped Peccary
